date,district_id,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-06-22,305,-68.42857142857143,-22.142857142857142,7.0,-59.285714285714285,-57.714285714285715,21.857142857142858
2020-06-22,306,-37.0,-8.857142857142858,93.57142857142857,-44.57142857142857,-48.142857142857146,16.714285714285715
2020-06-22,307,-55.142857142857146,-8.285714285714286,121.71428571428571,-52.714285714285715,-56.57142857142857,21.857142857142858
2020-06-22,308,-85.71428571428571,-45.142857142857146,-29.142857142857142,-77.0,-56.857142857142854,20.857142857142858
2020-06-29,276,-89.71428571428571,-68.14285714285714,-70.57142857142857,-77.42857142857143,-72.6,
2020-06-29,277,-37.42857142857143,-7.857142857142857,84.28571428571429,-35.857142857142854,-37.57142857142857,13.0
2020-06-29,278,-38.285714285714285,-11.714285714285714,115.71428571428571,-44.57142857142857,-46.57142857142857,17.285714285714285
2020-06-29,279,-42.57142857142857,-9.714285714285714,63.0,-43.285714285714285,-41.714285714285715,16.285714285714285
2020-06-29,280,-38.42857142857143,-7.857142857142857,117.0,-41.857142857142854,-43.142857142857146,15.571428571428571
2020-06-29,281,-43.57142857142857,-13.428571428571429,48.285714285714285,-49.0,-47.0,18.428571428571427
2020-06-29,282,-75.0,-38.57142857142857,19.285714285714285,-73.0,-57.0,21.142857142857142
2020-06-29,283,-43.285714285714285,-11.142857142857142,89.85714285714286,-50.714285714285715,-42.857142857142854,16.857142857142858
2020-06-29,284,-36.0,-8.714285714285714,94.85714285714286,-49.857142857142854,-43.857142857142854,16.714285714285715
2020-06-29,285,-34.42857142857143,-10.0,68.0,-38.42857142857143,-39.285714285714285,14.428571428571429
2020-06-29,286,-44.142857142857146,-7.428571428571429,39.42857142857143,-43.57142857142857,-46.142857142857146,17.428571428571427
2020-06-29,287,-54.714285714285715,-4.857142857142857,97.42857142857143,-51.142857142857146,-48.714285714285715,18.428571428571427
2020-06-29,288,-65.28571428571429,-22.571428571428573,63.142857142857146,-59.0,-53.285714285714285,20.285714285714285
2020-06-29,289,-38.57142857142857,-12.428571428571429,88.71428571428571,-47.57142857142857,-50.57142857142857,17.428571428571427
2020-06-29,290,-43.42857142857143,-13.0,111.85714285714286,-48.0,-41.714285714285715,16.857142857142858
2020-06-29,291,-41.857142857142854,-11.142857142857142,55.714285714285715,-43.42857142857143,-40.57142857142857,15.142857142857142
2020-06-29,292,-47.42857142857143,-13.571428571428571,97.0,-72.71428571428571,-42.714285714285715,16.571428571428573
2020-06-29,293,-36.714285714285715,-13.0,65.0,-45.0,-44.42857142857143,16.571428571428573
2020-06-29,294,-71.42857142857143,-21.714285714285715,64.71428571428571,-65.57142857142857,-56.0,22.428571428571427
2020-06-29,295,-70.85714285714286,-14.571428571428571,11.857142857142858,-65.42857142857143,-52.0,21.166666666666668
2020-06-29,296,-48.0,-17.571428571428573,113.5,-48.0,-48.0,18.714285714285715
2020-06-29,297,-61.42857142857143,-14.285714285714286,30.285714285714285,-63.142857142857146,-52.42857142857143,20.285714285714285
2020-06-29,298,-38.714285714285715,-2.4285714285714284,91.57142857142857,-49.0,-51.142857142857146,19.0
2020-06-29,299,-40.857142857142854,-13.428571428571429,61.57142857142857,-52.42857142857143,-46.714285714285715,18.142857142857142
2020-06-29,300,-46.0,-10.142857142857142,211.42857142857142,-50.42857142857143,-45.42857142857143,15.428571428571429
2020-06-29,301,-37.142857142857146,-8.428571428571429,112.0,-46.714285714285715,-43.42857142857143,16.142857142857142
2020-06-29,302,-48.857142857142854,-10.0,55.42857142857143,-53.285714285714285,-51.42857142857143,20.142857142857142
2020-06-29,303,-57.42857142857143,-20.142857142857142,5.285714285714286,-61.57142857142857,-53.285714285714285,20.428571428571427
2020-06-29,304,-42.57142857142857,-15.142857142857142,59.57142857142857,-50.57142857142857,-41.42857142857143,16.714285714285715
2020-06-29,305,-64.28571428571429,-23.142857142857142,-18.428571428571427,-58.57142857142857,-56.142857142857146,21.428571428571427
2020-06-29,306,-31.428571428571427,-10.285714285714286,77.14285714285714,-43.285714285714285,-45.857142857142854,16.285714285714285
2020-06-29,307,-48.142857142857146,-13.571428571428571,69.85714285714286,-54.0,-54.0,21.571428571428573
2020-06-29,308,-80.14285714285714,-45.42857142857143,-45.42857142857143,-75.14285714285714,-53.857142857142854,20.0
2020-07-06,276,-88.28571428571429,-66.85714285714286,-62.714285714285715,-75.0,-70.6,
2020-07-06,277,-34.857142857142854,-9.285714285714286,90.0,-33.57142857142857,-36.857142857142854,11.714285714285714
2020-07-06,278,-34.285714285714285,-12.714285714285714,120.71428571428571,-41.57142857142857,-45.142857142857146,15.714285714285714
2020-07-06,279,-39.285714285714285,-9.857142857142858,71.0,-40.0,-40.0,14.714285714285714
2020-07-06,280,-36.285714285714285,-9.714285714285714,128.28571428571428,-40.857142857142854,-41.285714285714285,14.142857142857142
2020-07-06,281,-37.714285714285715,-12.428571428571429,56.714285714285715,-45.285714285714285,-45.142857142857146,16.571428571428573
